Result,Number,,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point (C),Temperature ('C),Control ('C),AC Conductivity Real (S/m),AC Conductivity Imaginary (S/m),Relative Permittivity Real ,Relative Permittivity Imaginary ,impedance real,impedance imaginary
3775,27,109,10:33:23,3.981072,1,0,290,288.86,15.71,2.95E-04,1.28E-05,57729.04,1333198,2993.037,-129.6021
3776,27,110,10:33:29,3.548134,1,0,290,288.86,15.71,2.95E-04,1.29E-05,65265.07,1495014,2994.664,-130.7326
3777,27,111,10:33:34,3.162277,1,0,290,288.86,15.71,2.96E-04,1.28E-05,72541.1,1683672,2983.715,-128.5535
3778,27,112,10:33:40,2.818383,1,0,290,288.86,15.71,2.97E-04,1.30E-05,82799.24,1892387,2978.378,-130.3156
3779,27,113,10:33:46,2.511887,1,0,290,288.86,15.71,2.97E-04,1.32E-05,94357.94,2124475,2976.547,-132.2025
3780,27,114,10:33:51,2.238721,1,0,290,288.86,15.71,2.97E-04,1.31E-05,105176.5,2383957,2976.304,-131.3099
3781,27,115,10:33:56,1.995262,1,0,290,288.86,15.71,2.98E-04,1.30E-05,117548.6,2684450,2965.74,-129.8659
3782,27,116,10:34:02,1.778279,1,0,290,288.86,15.71,2.99E-04,1.32E-05,133577.8,3020853,2956.939,-130.7515
3783,27,117,10:34:08,1.584893,1,0,290,288.86,15.71,3.00E-04,1.33E-05,150379.5,3397631,2949.811,-130.559
3784,27,118,10:34:13,1.412537,1,0,290,288.86,15.71,3.00E-04,1.37E-05,174742.5,3821750,2942.057,-134.5202
3785,27,119,10:34:19,1.258925,1,0,290,288.86,15.71,3.01E-04,1.39E-05,198217.9,4298435,2934.861,-135.3381
3786,27,120,10:34:25,1.122018,1,0,290,288.86,15.71,3.02E-04,1.42E-05,227615.5,4830681,2929.874,-138.0519
3787,27,121,10:34:30,1,1,0,290,288.86,15.71,3.01E-04,1.41E-05,254119.8,5419481,2930.278,-137.4009
3788,27,122,10:34:36,0.8912509,1,0,290,288.86,15.71,3.02E-04,1.48E-05,299209,6097444,2921.648,-143.3688
3789,27,123,10:34:42,0.7943283,1,0,290,288.86,15.71,3.03E-04,1.49E-05,337821.8,6846452,2919.434,-144.0525
3790,27,124,10:34:47,0.7079458,1,0,290,288.86,15.71,3.02E-04,1.53E-05,387519,7673877,2922.128,-147.563
3791,27,125,10:34:54,0.6309573,1,0,290,288.86,15.71,3.03E-04,1.56E-05,445135.7,8637204,2912.695,-150.1116
3792,27,126,10:35:01,0.5623413,1,0,290,288.86,15.71,3.03E-04,1.62E-05,519102,9687953,2913.018,-156.0859
3793,27,127,10:35:08,0.5011872,1,0,290,288.86,15.71,3.04E-04,1.64E-05,587613.8,1.09E+07,2908.479,-156.9882
3794,27,128,10:35:14,0.4466836,1,0,290,288.86,15.71,3.02E-04,1.73E-05,696961.8,1.22E+07,2920.043,-167.3366
3795,27,129,10:35:20,0.3981072,1,0,290,288.86,15.71,3.03E-04,1.81E-05,815555.4,1.37E+07,2908.187,-173.1468
3796,27,130,10:35:27,0.3548134,1,0,290,288.86,15.71,3.03E-04,1.82E-05,923530.6,1.53E+07,2914.233,-175.4897
3797,27,131,10:35:35,0.3162278,1,0,290,288.86,15.71,3.02E-04,1.86E-05,1059017,1.72E+07,2917.285,-179.7572
3798,27,132,10:35:43,0.2818383,1,0,290,288.86,15.71,3.02E-04,1.85E-05,1182465,1.93E+07,2916.205,-178.7445
3799,27,133,10:35:52,0.2511886,1,0,290,288.86,15.71,3.03E-04,1.96E-05,1399446,2.17E+07,2906.927,-187.4156
3800,27,134,10:35:58,0.2238721,1,0,290,288.86,15.71,3.02E-04,1.99E-05,1601167,2.42E+07,2921.076,-193.0164
3801,27,135,10:36:04,0.1995262,1,0,290,288.86,15.71,3.01E-04,2.03E-05,1828689,2.71E+07,2926.589,-197.2474
3802,27,136,10:36:11,0.1778279,1,0,290,288.86,15.71,3.00E-04,2.07E-05,2091944,3.04E+07,2934.556,-202.2425
3803,27,137,10:36:19,0.1584893,1,0,290,288.86,15.71,3.01E-04,2.08E-05,2362037,3.41E+07,2929.364,-202.8102
3804,27,138,10:36:28,0.1412538,1,0,290,288.86,15.71,2.99E-04,2.15E-05,2741440,3.80E+07,2947.055,-212.4151
3805,27,139,10:36:37,0.1258925,1,0,290,288.86,15.71,3.00E-04,2.15E-05,3070648,4.28E+07,2940.178,-211.0518
3806,27,140,10:36:47,0.1122018,1,0,290,288.86,15.71,2.99E-04,2.11E-05,3387703,4.78E+07,2950.791,-208.9946
3807,27,141,10:36:59,0.1,1,0,290,288.86,15.71,2.98E-04,2.14E-05,3844504,5.35E+07,2960.696,-212.8366
3808,28,1,10:47:10,1000000,1,0,300,298.9,25.75,7.45E-04,6.17E-04,11.08942,13.38786,705.0543,-584.0096
3809,28,2,10:47:16,891250.9,1,0,300,298.9,25.75,7.19E-04,5.68E-04,11.45063,14.5041,758.4697,-598.7932
3810,28,3,10:47:21,794328.2,1,0,300,298.9,25.75,6.96E-04,5.23E-04,11.84058,15.7469,812.8301,-611.1924
3811,28,4,10:47:26,707945.8,1,0,300,298.9,25.75,6.75E-04,4.83E-04,12.25922,17.1386,867.7464,-620.6982
3812,28,5,10:47:33,630957.3,1,0,300,298.9,25.75,6.56E-04,4.46E-04,12.69817,18.67925,923.5812,-627.8512
3813,28,6,10:47:38,562341.3,1,0,300,298.9,25.75,6.38E-04,4.12E-04,13.16971,20.39741,979.2974,-632.2896
3814,28,7,10:47:44,501187.3,1,0,300,298.9,25.75,6.22E-04,3.81E-04,13.67487,22.29713,1034.925,-634.7212
3815,28,8,10:47:49,446683.6,1,0,300,298.9,25.75,6.07E-04,3.53E-04,14.20936,24.40767,1090.283,-634.7279
3816,28,9,10:47:54,398107.2,1,0,300,298.9,25.75,5.92E-04,3.27E-04,14.77546,26.74605,1145.219,-632.6595
3817,28,10,10:47:59,354813.4,1,0,300,298.9,25.75,5.79E-04,3.04E-04,15.37891,29.34109,1199.299,-628.6033
3818,28,11,10:48:04,316227.8,1,0,300,298.9,25.75,5.67E-04,2.82E-04,16.01951,32.21944,1252.458,-622.7227
3819,28,12,10:48:10,281838.3,1,0,300,298.9,25.75,5.56E-04,2.62E-04,16.70299,35.43344,1303.951,-614.6702
3820,28,13,10:48:15,251188.6,1,0,300,298.9,25.75,5.45E-04,2.44E-04,17.43463,38.96764,1354.785,-606.1486
3821,28,14,10:48:20,223872.1,1,0,300,298.9,25.75,5.34E-04,2.27E-04,18.20842,42.87932,1404.662,-596.4805
3822,28,15,10:48:25,199526.2,1,0,300,298.9,25.75,5.24E-04,2.11E-04,19.03652,47.18075,1453.958,-586.6436
3823,28,16,10:48:31,177828,1,0,300,298.9,25.75,5.14E-04,1.97E-04,19.90376,52.00631,1501.067,-574.4857
3824,28,17,10:48:36,158489.3,1,0,300,298.9,25.75,5.06E-04,1.84E-04,20.81392,57.3588,1547.027,-561.3735
3825,28,18,10:48:41,141253.8,1,0,300,298.9,25.75,4.98E-04,1.71E-04,21.78757,63.32093,1591.031,-547.4446
3826,28,19,10:48:46,125892.5,1,0,300,298.9,25.75,4.90E-04,1.60E-04,22.82283,69.92172,1633.958,-533.3328
3827,28,20,10:48:52,112201.9,1,0,300,298.9,25.75,4.82E-04,1.49E-04,23.89665,77.23493,1676.111,-518.5923
3828,28,21,10:48:57,100000,1,0,300,298.9,25.75,4.75E-04,1.39E-04,25.03484,85.45087,1715.302,-502.5381
3829,28,22,10:49:02,89125.09,1,0,300,298.9,25.75,4.69E-04,1.30E-04,26.26117,94.55234,1753.378,-486.9868
3830,28,23,10:49:07,79432.82,1,0,300,298.9,25.75,4.63E-04,1.22E-04,27.58211,104.675,1789.878,-471.6371
3831,28,24,10:49:12,70794.58,1,0,300,298.9,25.75,4.57E-04,1.14E-04,29.00269,115.922,1825.098,-456.624
3832,28,25,10:49:20,63095.73,1,0,300,298.9,25.75,4.51E-04,1.08E-04,30.69061,128.5118,1856.9,-443.4565
3833,28,26,10:49:26,56234.13,1,0,300,298.9,25.75,4.46E-04,1.01E-04,32.26396,142.4996,1889.274,-427.7588
3834,28,27,10:49:31,50118.72,1,0,300,298.9,25.75,4.41E-04,9.46E-05,33.92136,158.1292,1919.858,-411.8417
3835,28,28,10:49:36,44668.36,1,0,300,298.9,25.75,4.36E-04,8.85E-05,35.62467,175.436,1950.531,-396.0819
3836,28,29,10:49:41,39810.72,1,0,300,298.9,25.75,4.32E-04,8.33E-05,37.62408,195.1334,1975.313,-380.8642
3837,28,30,10:49:47,35481.34,1,0,300,298.9,25.75,4.28E-04,7.79E-05,39.47929,216.6572,2003.831,-365.1382
3838,28,31,10:49:52,31622.78,1,0,300,298.9,25.75,4.24E-04,7.36E-05,41.86016,241.132,2026.145,-351.7359
3839,28,32,10:49:57,28183.83,1,0,300,298.9,25.75,4.21E-04,6.88E-05,43.89291,268.2867,2049.979,-335.3857
3840,28,33,10:50:02,25118.86,1,0,300,298.9,25.75,4.18E-04,6.49E-05,46.44193,298.9778,2069.315,-321.4386
3841,28,34,10:50:07,22387.21,1,0,300,298.9,25.75,4.15E-04,6.09E-05,48.92344,333.0155,2089.691,-306.9973
3842,28,35,10:50:13,19952.62,1,0,300,298.9,25.75,4.12E-04,5.73E-05,51.58487,371.0477,2109,-293.2035
3843,28,36,10:50:18,17782.79,1,0,300,298.9,25.75,4.09E-04,5.38E-05,54.42059,413.5738,2127.218,-279.9124
3844,28,37,10:50:23,15848.93,1,0,300,298.9,25.75,4.07E-04,5.05E-05,57.24105,461.1164,2144.709,-266.2352
3845,28,38,10:50:28,14125.38,1,0,300,298.9,25.75,4.04E-04,4.77E-05,60.7138,514.4926,2159.906,-254.8844
3846,28,39,10:50:34,12589.25,1,0,300,298.9,25.75,4.02E-04,4.47E-05,63.85865,574.2446,2174.632,-241.8291
3847,28,40,10:50:39,11220.18,1,0,300,298.9,25.75,4.00E-04,4.21E-05,67.49517,640.9061,2188.95,-230.523
3848,28,41,10:50:44,10000,1,0,300,298.9,25.75,3.98E-04,3.97E-05,71.41888,715.6285,2202.057,-219.7627
3849,28,42,10:50:49,8912.51,1,0,300,298.9,25.75,3.96E-04,3.76E-05,75.848,799.4985,2213.662,-210.0089
3850,28,43,10:50:55,7943.282,1,0,300,298.9,25.75,3.95E-04,3.56E-05,80.44962,893.6564,2224.049,-200.2155
3851,28,44,10:51:00,7079.458,1,0,300,298.9,25.75,3.93E-04,3.36E-05,85.31599,998.8412,2234.43,-190.8538
3852,28,45,10:51:05,6309.573,1,0,300,298.9,25.75,3.92E-04,3.19E-05,90.75193,1117.833,2241.765,-181.999
3853,28,46,10:51:10,5623.413,1,0,300,298.9,25.75,3.91E-04,3.02E-05,96.62108,1248.937,2252.621,-174.2687
3854,28,47,10:51:16,5011.873,1,0,300,298.9,25.75,3.89E-04,2.87E-05,102.8526,1396.698,2261.357,-166.526
3855,28,48,10:51:21,4466.836,1,0,300,298.9,25.75,3.88E-04,2.71E-05,108.9895,1561.638,2270.542,-158.4653
3856,28,49,10:51:26,3981.072,1,0,300,298.9,25.75,3.87E-04,2.59E-05,116.8878,1747.046,2278.118,-152.4197
3857,28,50,10:51:31,3548.134,1,0,300,298.9,25.75,3.86E-04,2.47E-05,124.911,1955.503,2284.511,-145.9269
3858,28,51,10:51:36,3162.278,1,0,300,298.9,25.75,3.85E-04,2.35E-05,133.7816,2188.804,2290.836,-140.0178
3859,28,52,10:51:42,2818.383,1,0,300,298.9,25.75,3.84E-04,2.25E-05,143.7654,2450.462,2296.571,-134.7368
3860,28,53,10:51:47,2511.886,1,0,300,298.9,25.75,3.83E-04,2.16E-05,154.3929,2743.571,2302.136,-129.5515
3861,28,54,10:51:52,2238.721,1,0,300,298.9,25.75,3.83E-04,2.07E-05,165.873,3074.126,2305.876,-124.42
3862,28,55,10:51:57,1995.262,1,0,300,298.9,25.75,3.83E-04,1.99E-05,179.0757,3449.472,2306.21,-119.7245
3863,28,56,10:52:03,1778.279,1,0,300,298.9,25.75,3.82E-04,1.91E-05,193.2686,3859.844,2312.933,-115.8123
3864,28,57,10:52:08,1584.893,1,0,300,298.9,25.75,3.81E-04,1.85E-05,209.5405,4325.072,2316.375,-112.2234
3865,28,58,10:52:13,1412.537,1,0,300,298.9,25.75,3.80E-04,1.77E-05,225.5687,4840.998,2322.436,-108.2151
3866,28,59,10:52:18,1258.925,1,0,300,298.9,25.75,3.79E-04,1.71E-05,244.698,5416.072,2329.434,-105.2438
3867,28,60,10:52:24,1122.018,1,0,300,298.9,25.75,3.80E-04,1.67E-05,266.8346,6087.311,2325.741,-101.9478
3868,28,61,10:52:29,1000,1,0,300,298.9,25.75,3.79E-04,1.62E-05,291.0521,6807.554,2333.652,-99.7736
3869,28,62,10:52:34,891.251,1,0,300,298.9,25.75,3.78E-04,1.57E-05,316.9675,7625.323,2337.826,-97.17818
3870,28,63,10:52:40,794.3282,1,0,300,298.9,25.75,3.78E-04,1.53E-05,346.805,8544.63,2341.058,-95.01763
3871,28,64,10:52:45,707.9457,1,0,300,298.9,25.75,3.78E-04,1.50E-05,381.8134,9600.103,2338.073,-92.98935
3872,28,65,10:52:50,630.9573,1,0,300,298.9,25.75,3.77E-04,1.48E-05,421.3886,10742.57,2344.468,-91.96421
3873,28,66,10:52:55,562.3413,1,0,300,298.9,25.75,3.76E-04,1.45E-05,461.9563,12014.04,2352.282,-90.44843
3874,28,67,10:53:01,501.1872,1,0,300,298.9,25.75,3.77E-04,1.43E-05,513.2842,13506.82,2347.689,-89.21655
3875,28,68,10:53:06,446.6836,1,0,300,298.9,25.75,3.76E-04,1.41E-05,566.8116,15132.01,2351.336,-88.07583
3876,28,69,10:53:11,398.1072,1,0,300,298.9,25.75,3.75E-04,1.39E-05,629.2772,16944.37,2356.114,-87.50096
3877,28,70,10:53:17,354.8134,1,0,300,298.9,25.75,3.75E-04,1.37E-05,695.2214,18978.06,2360.402,-86.46835
3878,28,71,10:53:22,316.2278,1,0,300,298.9,25.75,3.74E-04,1.36E-05,773.9957,21258.05,2364.402,-86.08678
3879,28,72,10:53:29,281.8383,1,0,300,298.9,25.75,3.74E-04,1.35E-05,858.2496,23836.49,2366.003,-85.18959
3880,28,73,10:53:34,251.1886,1,0,300,298.9,25.75,3.74E-04,1.35E-05,966.6442,26754.32,2365.156,-85.454
3881,28,74,10:53:39,223.8721,1,0,300,298.9,25.75,3.74E-04,1.34E-05,1074.977,30004.54,2366.335,-84.77901
3882,28,75,10:53:44,199.5262,1,0,300,298.9,25.75,3.73E-04,1.33E-05,1197.235,33579.04,2372.468,-84.58852
3883,28,76,10:53:50,177.8279,1,0,300,298.9,25.75,3.73E-04,1.31E-05,1324.702,37653.71,2373.97,-83.51906
3884,28,77,10:53:55,158.4893,1,0,300,298.9,25.75,3.72E-04,1.33E-05,1506.889,42241.98,2374.235,-84.69554
3885,28,78,10:54:00,141.2538,1,0,300,298.9,25.75,3.72E-04,1.30E-05,1656.873,47363.78,2375.979,-83.11614
3886,28,79,10:54:05,125.8925,1,0,300,298.9,25.75,3.73E-04,1.32E-05,1890.531,53224.69,2372.246,-84.26173
3887,28,80,10:54:11,112.2018,1,0,300,298.9,25.75,3.72E-04,1.32E-05,2116.529,59663.55,2374.461,-84.2326
3888,28,81,10:54:16,100,1,0,300,298.9,25.75,3.72E-04,1.32E-05,2374.164,66909.69,2375.662,-84.29588
3889,28,82,10:54:21,89.12509,1,0,300,298.9,25.75,3.72E-04,1.32E-05,2654.614,74955.89,2379.415,-84.26859
3890,28,83,10:54:26,79.43282,1,0,300,298.9,25.75,3.72E-04,1.30E-05,2937.939,84218.66,2376.204,-82.89304
3891,28,84,10:54:31,70.79458,1,0,300,298.9,25.75,3.72E-04,1.32E-05,3352.212,94525.22,2375.345,-84.23848
3892,28,85,10:54:37,63.09574,1,0,300,298.9,25.75,3.72E-04,1.31E-05,3743.909,106036.1,2375.885,-83.88749
3893,28,86,10:54:42,56.23413,1,0,300,298.9,25.75,3.72E-04,1.33E-05,4237.961,118899.5,2377.328,-84.73566
3894,28,87,10:54:47,50.11872,1,0,300,298.9,25.75,3.72E-04,1.34E-05,4804.621,133367.5,2377.974,-85.66756
3895,28,88,10:54:52,44.66836,1,0,300,298.9,25.75,3.72E-04,1.35E-05,5415.176,149646.1,2377.861,-86.04655
3896,28,89,10:54:58,39.81071,1,0,300,298.9,25.75,3.72E-04,1.35E-05,6092.389,167832.6,2378.877,-86.35415
3897,28,90,10:55:03,35.48134,1,0,300,298.9,25.75,3.71E-04,1.35E-05,6830.49,188195.4,2380.343,-86.39379
3898,28,91,10:55:08,31.62278,1,0,300,298.9,25.75,3.72E-04,1.37E-05,7794.271,211238.2,2379.342,-87.79301
3899,28,92,10:55:13,28.18383,1,0,300,298.9,25.75,3.72E-04,1.37E-05,8761.366,237172,2377.74,-87.83605
3900,28,93,10:55:19,25.11886,1,0,300,298.9,25.75,3.72E-04,1.37E-05,9794.262,266060.9,2378.215,-87.54711
3901,28,94,10:55:24,22.38721,1,0,300,298.9,25.75,3.72E-04,1.37E-05,10982.67,298538.4,2378.114,-87.48638
3902,28,95,10:55:29,19.95262,1,0,300,298.9,25.75,3.72E-04,1.36E-05,12250.65,335111,2377.123,-86.90043
3903,28,96,10:55:34,17.78279,1,0,300,298.9,25.75,3.72E-04,1.36E-05,13795.62,375857.1,2378.006,-87.28338
3904,28,97,10:55:40,15.84893,1,0,300,298.9,25.75,3.72E-04,1.37E-05,15565.15,422083.5,2375.919,-87.61661
3905,28,98,10:55:45,14.12538,1,0,300,298.9,25.75,3.72E-04,1.38E-05,17574.41,473851.8,2374.546,-88.06811
3906,28,99,10:55:50,12.58925,1,0,300,298.9,25.75,3.72E-04,1.38E-05,19733.48,531681.8,2374.492,-88.12978
3907,28,100,10:55:55,11.22018,1,0,300,298.9,25.75,3.73E-04,1.38E-05,22073.12,597114.6,2372.301,-87.6952
3908,28,101,10:56:01,10,1,0,300,298.9,25.75,3.72E-04,1.38E-05,24878.84,668896.8,2376.078,-88.37547
3909,28,102,10:56:06,8.91251,1,0,300,298.9,25.75,3.72E-04,1.39E-05,27975.07,751237.5,2373.783,-88.3965
3910,28,103,10:56:11,7.943283,1,0,300,298.9,25.75,3.73E-04,1.37E-05,31076.44,843954.6,2370.897,-87.30212
3911,28,104,10:56:17,7.079458,1,0,300,298.9,25.75,3.73E-04,1.39E-05,35255.68,947090.3,2370.432,-88.23993
3912,28,105,10:56:22,6.309574,1,0,300,298.9,25.75,3.73E-04,1.40E-05,39779.75,1061970,2371.913,-88.84818
3913,28,106,10:56:28,5.623414,1,0,300,298.9,25.75,3.74E-04,1.39E-05,44317.44,1195340,2364.46,-87.66274
3914,28,107,10:56:37,5.011872,1,0,300,298.9,25.75,3.75E-04,1.37E-05,49292.4,1345875,2356.315,-86.29953
3915,28,108,10:56:43,4.466836,1,0,300,298.9,25.75,3.75E-04,1.39E-05,55964.53,1510720,2355.271,-87.25089
3916,28,109,10:56:48,3.981072,1,0,300,298.9,25.75,3.76E-04,1.41E-05,63847.47,1697573,2351.678,-88.44905
3917,28,110,10:56:58,3.548134,1,0,300,298.9,25.75,3.77E-04,1.37E-05,69479.1,1911573,2343.451,-85.17641
3918,28,111,10:57:03,3.162277,1,0,300,298.9,25.75,3.78E-04,1.39E-05,79290.77,2148711,2339.115,-86.31698
3919,28,112,10:57:09,2.818383,1,0,300,298.9,25.75,3.78E-04,1.43E-05,91268.23,2412437,2337.454,-88.43147
3920,28,113,10:57:15,2.511887,1,0,300,298.9,25.75,3.80E-04,1.47E-05,104949.4,2720615,2325.451,-89.70565
3921,28,114,10:57:20,2.238721,1,0,300,298.9,25.75,3.81E-04,1.46E-05,117060.9,3056009,2322.892,-88.97871
3922,28,115,10:57:25,1.995262,1,0,300,298.9,25.75,3.81E-04,1.48E-05,133243.8,3430793,2321.514,-90.16205
3923,28,116,10:57:31,1.778279,1,0,300,298.9,25.75,3.81E-04,1.47E-05,148517.8,3855877,2317.68,-89.27068
3924,28,117,10:57:37,1.584893,1,0,300,298.9,25.75,3.82E-04,1.51E-05,171233.6,4333431,2313.72,-91.42559
3925,28,118,10:57:42,1.412537,1,0,300,298.9,25.75,3.83E-04,1.55E-05,197074.7,4874998,2307.474,-93.28101
3926,28,119,10:57:48,1.258925,1,0,300,298.9,25.75,3.84E-04,1.56E-05,222365.1,5483874,2301.545,-93.32513
3927,28,120,10:57:54,1.122018,1,0,300,298.9,25.75,3.84E-04,1.63E-05,261404.4,6158491,2299.134,-97.58948
3928,28,121,10:57:59,1,1,0,300,298.9,25.75,3.85E-04,1.67E-05,300355.8,6915944,2296.944,-99.75507
3929,28,122,10:58:05,0.8912509,1,0,300,298.9,25.75,3.85E-04,1.74E-05,350093.3,7774846,2292.18,-103.2145
3930,28,123,10:58:11,0.7943283,1,0,300,298.9,25.75,3.86E-04,1.71E-05,387873.1,8740190,2287.941,-101.5345
3931,28,124,10:58:16,0.7079458,1,0,300,298.9,25.75,3.85E-04,1.79E-05,453352.9,9780655,2293.613,-106.3135
3932,28,125,10:58:22,0.6309573,1,0,300,298.9,25.75,3.86E-04,1.83E-05,520987,1.10E+07,2289.462,-108.5045
3933,28,126,10:58:29,0.5623413,1,0,300,298.9,25.75,3.86E-04,1.85E-05,590721.5,1.23E+07,2288.169,-109.5299
3934,28,127,10:58:36,0.5011872,1,0,300,298.9,25.75,3.86E-04,1.84E-05,659619,1.38E+07,2290.117,-109.1878
3935,28,128,10:58:42,0.4466836,1,0,300,298.9,25.75,3.86E-04,1.91E-05,766859.5,1.55E+07,2290.637,-113.2055
3936,28,129,10:58:48,0.3981072,1,0,300,298.9,25.75,3.87E-04,1.94E-05,875549.4,1.75E+07,2282.804,-114.4162
3937,28,130,10:58:55,0.3548134,1,0,300,298.9,25.75,3.85E-04,2.03E-05,1027961,1.95E+07,2291.111,-120.6289
3938,28,131,10:59:03,0.3162278,1,0,300,298.9,25.75,3.86E-04,2.09E-05,1189257,2.19E+07,2289.252,-124.1993
3939,28,132,10:59:11,0.2818383,1,0,300,298.9,25.75,3.87E-04,2.07E-05,1320838,2.47E+07,2283.108,-122.2718
3940,28,133,10:59:20,0.2511886,1,0,300,298.9,25.75,3.87E-04,2.10E-05,1506162,2.77E+07,2281.957,-124.1509
3941,28,134,10:59:26,0.2238721,1,0,300,298.9,25.75,3.84E-04,2.27E-05,1823114,3.09E+07,2295.196,-135.5643
3942,28,135,10:59:32,0.1995262,1,0,300,298.9,25.75,3.83E-04,2.20E-05,1982924,3.45E+07,2301.56,-132.1171
3943,28,136,10:59:39,0.1778279,1,0,300,298.9,25.75,3.82E-04,2.27E-05,2298592,3.86E+07,2309.231,-137.4397
3944,28,137,10:59:46,0.1584893,1,0,300,298.9,25.75,3.83E-04,2.28E-05,2580295,4.34E+07,2303.188,-136.7845
3945,28,138,10:59:55,0.1412538,1,0,300,298.9,25.75,3.83E-04,2.33E-05,2966598,4.87E+07,2305.911,-140.5185
3946,28,139,11:00:05,0.1258925,1,0,300,298.9,25.75,3.83E-04,2.39E-05,3412022,5.47E+07,2303.997,-143.8283
3947,28,140,11:00:15,0.1122018,1,0,300,298.9,25.75,3.81E-04,2.40E-05,3840092,6.10E+07,2315.384,-145.7081
3948,28,141,11:00:26,0.1,1,0,300,298.9,25.75,3.81E-04,2.42E-05,4357434,6.84E+07,2316.407,-147.502
3949,29,1,11:10:38,1000000,1,0,310,308.88,35.73,8.58E-04,6.44E-04,11.57422,15.41718,660.2202,-495.6505
3950,29,2,11:10:43,891250.9,1,0,310,308.88,35.73,8.30E-04,5.93E-04,11.95558,16.73414,706.5074,-504.759
3951,29,3,11:10:48,794328.2,1,0,310,308.88,35.73,8.05E-04,5.46E-04,12.3654,18.21732,752.9489,-511.0804
3952,29,4,11:10:54,707945.8,1,0,310,308.88,35.73,7.83E-04,5.04E-04,12.80278,19.87148,799.4736,-515.0842
3953,29,5,11:11:01,630957.3,1,0,310,308.88,35.73,7.62E-04,4.66E-04,13.26724,21.7131,845.8957,-516.8632
3954,29,6,11:11:06,562341.3,1,0,310,308.88,35.73,7.43E-04,4.30E-04,13.75729,23.7593,892.1061,-516.5541
3955,29,7,11:11:11,501187.3,1,0,310,308.88,35.73,7.26E-04,3.98E-04,14.28352,26.04145,937.411,-514.162
3956,29,8,11:11:16,446683.6,1,0,310,308.88,35.73,7.10E-04,3.69E-04,14.84271,28.58284,981.8102,-509.8417
3957,29,9,11:11:22,398107.2,1,0,310,308.88,35.73,6.95E-04,3.42E-04,15.43426,31.39585,1025.512,-504.1438
3958,29,10,11:11:27,354813.4,1,0,310,308.88,35.73,6.81E-04,3.17E-04,16.05972,34.52453,1068.126,-496.8586
3959,29,11,11:11:32,316227.8,1,0,310,308.88,35.73,6.68E-04,2.94E-04,16.72438,37.99322,1109.668,-488.4691
3960,29,12,11:11:37,281838.3,1,0,310,308.88,35.73,6.56E-04,2.73E-04,17.43743,41.84594,1149.822,-479.1372
3961,29,13,11:11:42,251188.6,1,0,310,308.88,35.73,6.45E-04,2.54E-04,18.19577,46.13156,1188.566,-468.8087
3962,29,14,11:11:48,223872.1,1,0,310,308.88,35.73,6.34E-04,2.37E-04,19.00094,50.89085,1226.036,-457.761
3963,29,15,11:11:53,199526.2,1,0,310,308.88,35.73,6.24E-04,2.20E-04,19.8575,56.19839,1261.828,-445.8626
3964,29,16,11:11:58,177828,1,0,310,308.88,35.73,6.14E-04,0.0002051,20.7318,62.10888,1296.546,-432.7839
3965,29,17,11:12:03,158489.3,1,0,310,308.88,35.73,6.06E-04,1.91E-04,21.67575,68.67825,1329.725,-419.6785
3966,29,18,11:12:09,141253.8,1,0,310,308.88,35.73,5.97E-04,1.78E-04,22.66678,75.98805,1361.618,-406.1623
3967,29,19,11:12:14,125892.5,1,0,310,308.88,35.73,5.89E-04,1.66E-04,23.71833,84.11437,1392.269,-392.588
3968,29,20,11:12:19,112201.9,1,0,310,308.88,35.73,5.82E-04,1.55E-04,24.82099,93.20049,1421.159,-378.4805
3969,29,21,11:12:24,100000,1,0,310,308.88,35.73,5.75E-04,1.45E-04,25.97663,103.3388,1448.593,-364.1379
3970,29,22,11:12:30,89125.09,1,0,310,308.88,35.73,5.68E-04,1.35E-04,27.22472,114.6295,1474.662,-350.2349
3971,29,23,11:12:35,79432.82,1,0,310,308.88,35.73,5.62E-04,1.26E-04,28.588,127.2274,1499.159,-336.8611
3972,29,24,11:12:40,70794.58,1,0,310,308.88,35.73,5.56E-04,1.18E-04,30.04096,141.2444,1522.771,-323.8748
3973,29,25,11:12:48,63095.73,1,0,310,308.88,35.73,5.51E-04,1.12E-04,31.81567,156.948,1543.742,-312.9394
3974,29,26,11:12:53,56234.13,1,0,310,308.88,35.73,5.46E-04,1.05E-04,33.43461,174.3999,1565.303,-300.088
3975,29,27,11:12:58,50118.72,1,0,310,308.88,35.73,5.40E-04,9.80E-05,35.13347,193.8503,1586.052,-287.4564
3976,29,28,11:13:04,44668.36,1,0,310,308.88,35.73,5.35E-04,9.16E-05,36.86889,215.457,1606.665,-274.9316
3977,29,29,11:13:09,39810.72,1,0,310,308.88,35.73,5.31E-04,8.63E-05,38.9648,239.8461,1623.955,-263.8238
3978,29,30,11:13:14,35481.34,1,0,310,308.88,35.73,5.27E-04,8.07E-05,40.87575,266.9068,1642.073,-251.4772
3979,29,31,11:13:19,31622.78,1,0,310,308.88,35.73,5.23E-04,7.64E-05,43.41442,297.4317,1656.827,-241.8377
3980,29,32,11:13:24,28183.83,1,0,310,308.88,35.73,5.19E-04,7.14E-05,45.54253,331.2051,1673.356,-230.0957
3981,29,33,11:13:30,25118.86,1,0,310,308.88,35.73,5.16E-04,6.75E-05,48.27282,369.2487,1687.102,-220.5591
